Código anterior a la reforma de 1995;Hombres;Mujeres;Total
Seguridad Exterior;0;0;0
Seguridad Interior;108;5;113
Falsedades;3;0;3
Contra la Administración de Justicia;1;0;1
Contra la Seguridad del Tráfico;1;0;1
Contra la Salud Pública;24;3;27
Funcionarios Públicos;0;0;0
Contra las Personas;201;11;212
Contra la Libertad Sexual;63;1;64
Contra el Honor;0;0;0
Contra la Libertad;1;0;1
Contra la Propiedad;102;2;104
Contra el Estado Civil;0;0;0
Resto de Delitos;9;3;12
Por Faltas;1;0;1
No Consta Delito;0;0;0
Total;514;25;539
