Población reclusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Población reclusa. Hasta 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población reclusa por CCAA; periodo; situación procesal-penal y  sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades:número de internos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,,,,,,,,,,2001,,,,,,,,,,,,2002,,,,,,,,,,,,2003,,,,,,,,,,,,2004,,,,,,,,,,,,2005,,,,,,,,,,,,2006,,,,,,,,,,,,2007,,,,,,,,,,,,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,
,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,,Total,,,Preventivos,,,Penados en prisión,,,Otros penados (1),,
,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres
Total,45104.0,41451.0,3653.0,9100.0,8339.0,761.0,35109.0,32261.0,2848.0,895.0,851.0,44.0,47571.0,43666.0,3905.0,10141.0,9277.0,864.0,36436.0,33455.0,2981.0,994.0,934.0,60.0,51882.0,47750.0,4132.0,11810.0,10824.0,986.0,39032.0,35940.0,3092.0,1040.0,986.0,54.0,56096.0,51686.0,4410.0,12276.0,11214.0,1062.0,42744.0,39459.0,3285.0,1076.0,1013.0,63.0,59375.0,54805.0,4570.0,13112.0,11963.0,1149.0,45384.0,42006.0,3378.0,879.0,836.0,43.0,61054.0,56291.0,4763.0,13720.0,12494.0,1226.0,46426.0,42936.0,3490.0,908.0,861.0,47.0,64021.0,58912.0,5109.0,15065.0,13567.0,1498.0,48073.0,44508.0,3565.0,883.0,837.0,46.0,67100.0,61508.0,5592.0,16137.0,14428.0,1709.0,49943.0,46120.0,3823.0,1020.0,960.0,60.0,73558.0,67608.0,5950.0,17849.0,16073.0,1776.0,54746.0,50626.0,4120.0,963.0,909.0,54.0,76079.0,70003.0,6076.0,15580.0,14179.0,1401.0,59518.0,54895.0,4623.0,981.0,929.0,52.0,73929.0,68146.0,5783.0,13837.0,12560.0,1277.0,59251.0,54793.0,4458.0,841.0,793.0,48.0,70472.0,65184.0,5288.0,12148.0,10992.0,1156.0,57440.0,53371.0,4069.0,884.0,821.0,63.0,68597.0,63372.0,5225.0,10443.0,9457.0,986.0,52463.0,48473.0,3990.0,1485.0,1399.0,86.0,66765.0,61682.0,5083.0,9292.0,8461.0,831.0,56103.0,51943.0,4160.0,1370.0,1278.0,92.0
Andalucía,10244.0,9345.0,899.0,2156.0,2007.0,149.0,7873.0,7126.0,747.0,215.0,212.0,3.0,11138.0,10178.0,960.0,2525.0,2367.0,158.0,8375.0,7575.0,800.0,238.0,236.0,2.0,11762.0,10791.0,971.0,2700.0,2532.0,168.0,8805.0,8009.0,796.0,257.0,250.0,7.0,11717.0,10649.0,1068.0,2812.0,2591.0,221.0,8690.0,7849.0,841.0,215.0,209.0,6.0,12325.0,11242.0,1083.0,2687.0,2461.0,226.0,9404.0,8555.0,849.0,234.0,226.0,8.0,12919.0,11818.0,1101.0,2957.0,2737.0,220.0,9724.0,8846.0,878.0,238.0,235.0,3.0,13852.0,12733.0,1119.0,3143.0,2889.0,254.0,10457.0,9594.0,863.0,252.0,250.0,2.0,14709.0,13535.0,1174.0,3407.0,3134.0,273.0,11017.0,10120.0,897.0,285.0,281.0,4.0,16635.0,15391.0,1244.0,3736.0,3400.0,336.0,12579.0,11678.0,901.0,320.0,313.0,7.0,17495.0,16195.0,1300.0,3033.0,2831.0,202.0,14188.0,13097.0,1091.0,274.0,267.0,7.0,17215.0,15996.0,1219.0,2823.0,2627.0,196.0,14130.0,13109.0,1021.0,262.0,260.0,2.0,16174.0,15069.0,1105.0,2500.0,2301.0,199.0,13436.0,12531.0,905.0,238.0,237.0,1.0,15767.0,14601.0,1166.0,2272.0,2108.0,164.0,13065.0,12071.0,994.0,430.0,422.0,8.0,15190.0,14094.0,1096.0,1882.0,1773.0,109.0,12931.0,11959.0,972.0,377.0,362.0,15.0
Aragón,1130.0,1107.0,23.0,122.0,116.0,6.0,998.0,983.0,15.0,10.0,8.0,2.0,1313.0,1282.0,31.0,193.0,180.0,13.0,1109.0,1091.0,18.0,11.0,11.0,0.0,1673.0,1613.0,60.0,253.0,231.0,22.0,1408.0,1371.0,37.0,12.0,11.0,1.0,2231.0,2175.0,56.0,204.0,185.0,19.0,2018.0,1982.0,36.0,9.0,8.0,1.0,2411.0,2323.0,88.0,235.0,218.0,17.0,2170.0,2099.0,71.0,6.0,6.0,0.0,2430.0,2334.0,96.0,229.0,218.0,11.0,2198.0,2113.0,85.0,3.0,3.0,0.0,2321.0,2221.0,100.0,318.0,295.0,23.0,2000.0,1923.0,77.0,3.0,3.0,0.0,2438.0,2301.0,137.0,315.0,274.0,41.0,2118.0,2023.0,95.0,5.0,4.0,1.0,2557.0,2416.0,141.0,329.0,298.0,31.0,2224.0,2114.0,110.0,4.0,4.0,0.0,2644.0,2501.0,143.0,270.0,247.0,23.0,2369.0,2249.0,120.0,5.0,5.0,0.0,2587.0,2449.0,138.0,231.0,209.0,22.0,2356.0,2240.0,116.0,0.0,0.0,0.0,2478.0,2357.0,121.0,209.0,191.0,18.0,2268.0,2165.0,103.0,1.0,1.0,0.0,2239.0,2113.0,126.0,189.0,174.0,15.0,2019.0,1909.0,110.0,31.0,30.0,1.0,2273.0,2159.0,114.0,186.0,170.0,16.0,2046.0,1949.0,97.0,41.0,40.0,1.0
Asturias; Principado de,1043.0,947.0,96.0,131.0,107.0,24.0,907.0,838.0,69.0,5.0,2.0,3.0,1136.0,1053.0,83.0,108.0,100.0,8.0,1015.0,942.0,73.0,13.0,11.0,2.0,1295.0,1196.0,99.0,134.0,122.0,12.0,1145.0,1063.0,82.0,16.0,11.0,5.0,1308.0,1205.0,103.0,160.0,139.0,21.0,1134.0,1053.0,81.0,14.0,13.0,1.0,1278.0,1178.0,100.0,152.0,136.0,16.0,1126.0,1042.0,84.0,0.0,0.0,0.0,1350.0,1247.0,103.0,204.0,192.0,12.0,1145.0,1054.0,91.0,1.0,1.0,0.0,1400.0,1288.0,112.0,153.0,140.0,13.0,1242.0,1143.0,99.0,5.0,5.0,0.0,1454.0,1340.0,114.0,232.0,206.0,26.0,1221.0,1133.0,88.0,1.0,1.0,0.0,1623.0,1493.0,130.0,271.0,247.0,24.0,1352.0,1246.0,106.0,0.0,0.0,0.0,1547.0,1420.0,127.0,209.0,188.0,21.0,1336.0,1230.0,106.0,2.0,2.0,0.0,1537.0,1421.0,116.0,176.0,163.0,13.0,1360.0,1257.0,103.0,1.0,1.0,0.0,1444.0,1335.0,109.0,156.0,143.0,13.0,1288.0,1192.0,96.0,0.0,0.0,0.0,1437.0,1319.0,118.0,120.0,114.0,6.0,1297.0,1187.0,110.0,20.0,18.0,2.0,1385.0,1245.0,140.0,112.0,103.0,9.0,1260.0,1129.0,131.0,13.0,13.0,0.0
Balears; Illes,1056.0,949.0,107.0,198.0,179.0,19.0,858.0,770.0,88.0,0.0,0.0,0.0,1091.0,985.0,106.0,246.0,223.0,23.0,843.0,760.0,83.0,2.0,2.0,0.0,1248.0,1138.0,110.0,338.0,307.0,31.0,903.0,824.0,79.0,7.0,7.0,0.0,1360.0,1233.0,127.0,347.0,311.0,36.0,1002.0,914.0,88.0,11.0,8.0,3.0,1320.0,1216.0,104.0,279.0,259.0,20.0,1039.0,956.0,83.0,2.0,1.0,1.0,1434.0,1325.0,109.0,372.0,341.0,31.0,1060.0,982.0,78.0,2.0,2.0,0.0,1564.0,1444.0,120.0,295.0,263.0,32.0,1268.0,1180.0,88.0,1.0,1.0,0.0,1637.0,1530.0,107.0,330.0,315.0,15.0,1307.0,1215.0,92.0,0.0,0.0,0.0,2090.0,1951.0,139.0,496.0,447.0,49.0,1594.0,1504.0,90.0,0.0,0.0,0.0,1937.0,1780.0,157.0,417.0,377.0,40.0,1520.0,1403.0,117.0,0.0,0.0,0.0,1865.0,1686.0,179.0,368.0,334.0,34.0,1497.0,1352.0,145.0,0.0,0.0,0.0,1771.0,1613.0,158.0,403.0,371.0,32.0,1368.0,1242.0,126.0,0.0,0.0,0.0,1790.0,1660.0,130.0,336.0,308.0,28.0,1422.0,1322.0,100.0,32.0,30.0,2.0,1715.0,1580.0,135.0,263.0,237.0,26.0,1427.0,1320.0,107.0,25.0,23.0,2.0
Canarias,2692.0,2474.0,218.0,781.0,705.0,76.0,1890.0,1748.0,142.0,21.0,21.0,0.0,2754.0,2526.0,228.0,811.0,734.0,77.0,1903.0,1753.0,150.0,40.0,39.0,1.0,3064.0,2847.0,217.0,1073.0,1017.0,56.0,1947.0,1787.0,160.0,44.0,43.0,1.0,2966.0,2749.0,217.0,883.0,821.0,62.0,2037.0,1883.0,154.0,46.0,45.0,1.0,2831.0,2583.0,248.0,930.0,842.0,88.0,1893.0,1733.0,160.0,8.0,8.0,0.0,2920.0,2682.0,238.0,880.0,801.0,79.0,2019.0,1862.0,157.0,21.0,19.0,2.0,2905.0,2673.0,232.0,1062.0,969.0,93.0,1842.0,1703.0,139.0,1.0,1.0,0.0,3101.0,2800.0,301.0,1173.0,1033.0,140.0,1928.0,1767.0,161.0,0.0,0.0,0.0,3297.0,2983.0,314.0,1411.0,1265.0,146.0,1886.0,1718.0,168.0,0.0,0.0,0.0,3198.0,2854.0,344.0,1269.0,1128.0,141.0,1928.0,1725.0,203.0,1.0,1.0,0.0,3029.0,2687.0,342.0,976.0,816.0,160.0,2053.0,1871.0,182.0,0.0,0.0,0.0,3567.0,3253.0,314.0,802.0,691.0,111.0,2765.0,2562.0,203.0,0.0,0.0,0.0,3708.0,3391.0,317.0,699.0,605.0,94.0,2958.0,2736.0,222.0,51.0,50.0,1.0,3587.0,3333.0,254.0,573.0,500.0,73.0,2970.0,2789.0,181.0,44.0,44.0,0.0
Cantabria,676.0,659.0,17.0,43.0,38.0,5.0,624.0,612.0,12.0,9.0,9.0,0.0,625.0,613.0,12.0,41.0,35.0,6.0,580.0,574.0,6.0,4.0,4.0,0.0,623.0,608.0,15.0,50.0,47.0,3.0,563.0,551.0,12.0,10.0,10.0,0.0,665.0,652.0,13.0,53.0,48.0,5.0,605.0,597.0,8.0,7.0,7.0,0.0,746.0,729.0,17.0,91.0,84.0,7.0,655.0,645.0,10.0,0.0,0.0,0.0,750.0,737.0,13.0,73.0,67.0,6.0,677.0,670.0,7.0,0.0,0.0,0.0,569.0,551.0,18.0,90.0,79.0,11.0,478.0,471.0,7.0,1.0,1.0,0.0,669.0,654.0,15.0,83.0,74.0,9.0,586.0,580.0,6.0,0.0,0.0,0.0,780.0,761.0,19.0,90.0,84.0,6.0,690.0,677.0,13.0,0.0,0.0,0.0,724.0,713.0,11.0,50.0,50.0,0.0,674.0,663.0,11.0,0.0,0.0,0.0,682.0,655.0,27.0,61.0,58.0,3.0,621.0,597.0,24.0,0.0,0.0,0.0,671.0,650.0,21.0,65.0,64.0,1.0,606.0,586.0,20.0,0.0,0.0,0.0,649.0,618.0,31.0,63.0,56.0,7.0,574.0,550.0,24.0,12.0,12.0,0.0,644.0,623.0,21.0,71.0,67.0,4.0,569.0,552.0,17.0,4.0,4.0,0.0
Castilla y León,3646.0,3339.0,307.0,390.0,355.0,35.0,3208.0,2936.0,272.0,48.0,48.0,0.0,4066.0,3770.0,296.0,265.0,239.0,26.0,3758.0,3489.0,269.0,43.0,42.0,1.0,4809.0,4423.0,386.0,457.0,418.0,39.0,4309.0,3963.0,346.0,43.0,42.0,1.0,5857.0,5454.0,403.0,521.0,465.0,56.0,5293.0,4948.0,345.0,43.0,41.0,2.0,6402.0,6012.0,390.0,674.0,635.0,39.0,5715.0,5364.0,351.0,13.0,13.0,0.0,6540.0,6042.0,498.0,959.0,836.0,123.0,5560.0,5186.0,374.0,21.0,20.0,1.0,6961.0,6497.0,464.0,1122.0,1059.0,63.0,5807.0,5406.0,401.0,32.0,32.0,0.0,6958.0,6344.0,614.0,1351.0,1160.0,191.0,5567.0,5144.0,423.0,40.0,40.0,0.0,7431.0,6807.0,624.0,1366.0,1209.0,157.0,6044.0,5577.0,467.0,21.0,21.0,0.0,7021.0,6469.0,552.0,784.0,713.0,71.0,6216.0,5735.0,481.0,21.0,21.0,0.0,6877.0,6371.0,506.0,532.0,478.0,54.0,6325.0,5873.0,452.0,20.0,20.0,0.0,5757.0,5363.0,394.0,387.0,355.0,32.0,5351.0,4989.0,362.0,19.0,19.0,0.0,5414.0,5028.0,386.0,336.0,312.0,24.0,4993.0,4633.0,360.0,85.0,83.0,2.0,5299.0,4949.0,350.0,316.0,288.0,28.0,4902.0,4584.0,318.0,81.0,77.0,4.0
